 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
remaining,20,0.998835328372695,0.9947310038824181,0.9939361666178037,0.9966253546364043,0.9963645330137911,0.9999792215174643,0.005268996117581803
remaining,21,0.9600988700564973,0.9316161616161617,0.9360601227718209,0.9458661417322834,0.9473303932038234,0.9852703436707675,0.06838383838383835
remaining,22,0.9042316258351892,0.8586459286367796,0.45207568486761773,0.8634343198034857,0.5974840399076833,0.9366718151753312,0.14135407136322048
remaining,23,0.9955456570155903,0.9764553686934022,0.9763982348587706,0.9858457493426819,0.98582301568896,0.9991858482891885,0.023544631306597695
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,3,0.13510905230650455,0.5897474747474747,0.19297063816699137,0.3572450893297799,0.15279262640693417,0.2908753940680692,0.4102525252525253
 
remaining,1,0.9994272987591473,0.9996730957829356,0.9996820875302961,0.999548532731377,0.9995543385629384,0.9999997670170391,0.00032690421706441493
remaining,2,0.9965714285714286,0.9939351851851853,0.9929128251705374,0.9951469668542838,0.9947341962223822,0.9998766780045351,0.006064814814814801
remaining,5,0.9895913978494623,0.977936507936508,0.9766251792441365,0.983529411764706,0.982969866885969,0.9990565284178187,0.022063492063492052
remaining,6,0.9032943067033976,0.8687423687423688,0.8692303123851967,0.8849784250269687,0.8819983236550791,0.9686533873323645,0.13125763125763124
remaining,8,0.9982182628062362,0.9902222222222221,0.9903872825764358,0.9942157953281423,0.9942606160896286,0.9994662212323682,0.009777777777777774
remaining,9,0.9935777236077254,0.9886440026889465,0.9889943720426744,0.9911404715593719,0.9912700385577605,0.9995699457519753,0.011355997311053467
remaining,10,0.9692626906002703,0.9672649572649572,0.9640104147248723,0.9682032453993291,0.9665078041604588,0.9942915806769309,0.03273504273504274
remaining,13,0.9908960573476703,0.9788888888888888,0.9820845111104664,0.9851977401129943,0.9861758339994949,0.9997990442054957,0.021111111111111098
remaining,14,0.7767879237812423,0.9815555555555555,0.9843002355657001,0.8500238435860754,0.8609652669008385,0.977456405180236,0.018444444444444447
remaining,16,0.8608017817371939,0.8511111111111113,0.8565778807840366,0.8559510567296997,0.8569108950029213,0.9346648931782563,0.1488888888888889
remaining,17,0.9703043801039346,0.972,0.9151104807469673,0.9716093723276894,0.9412776094603926,0.993747092303885,0.028000000000000025
remaining,18,0.9961267883961743,0.9941666666666668,0.9950353393218317,0.995224084260799,0.9955744728700769,0.9999169477160348,0.005833333333333339
remaining,19,0.9995504607777028,0.9972,0.9971746761357005,0.9983685327969605,0.9983611058724349,0.9999936525061811,0.002799999999999988
remaining,20,0.9998058880621159,0.9960066555740432,0.9953760183982034,0.9977601911303567,0.9975824573581582,0.9999981338841246,0.003993344425956735
remaining,21,0.9761904761904763,0.9527777777777778,0.9554577028552821,0.9644912174439733,0.9653502481338203,0.9938199692648846,0.04722222222222222
remaining,22,0.9576837416481069,0.8379950333289766,0.42961905249281895,0.8505673178149491,0.5877812444944561,0.9386631265575427,0.16200496667102338
remaining,23,0.9936748329621381,0.9864596808969383,0.9861738218935556,0.9900087642418931,0.9898877439306523,0.9993997873670685,0.01354031910306166
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
