 ,Sn,Sp,precision,acc,f1_score,auc,fpr
Dog_1,0.963346428766301,0.39837500000000003,0.6208645620361724,0.6834035290555235,0.7546942327402875,0.8051648201954615,0.601625
Dog_2,0.9513349848609964,0.8572761940318409,0.8679457266221375,0.903560931341343,0.9069857883753496,0.9629457639743869,0.14272380596815915
Dog_3,0.9780560557283425,0.6201712962962963,0.7249842436907823,0.8007244382048246,0.8322626767430382,0.9402049450416202,0.37982870370370364
Dog_4,0.9467858450680782,0.42741173153783635,0.6235068282641694,0.686622029125165,0.751135393106071,0.8095164971985062,0.5725882684621636
Dog_5,0.9051142381600847,0.9026074074074074,0.9009973051108512,0.9038475933827381,0.9026943087126057,0.9596979393980151,0.09739259259259259
 
 
 
