,0,1,2
0,-10.064397811889648,-13.773938179016113,1.0
1,-3.5020909309387207,-3.6422781944274902,1.0
2,-7.441864490509033,-9.542612075805664,1.0
3,-12.991320610046387,-17.909290313720703,1.0
4,-13.42974853515625,-18.610736846923828,1.0
5,-14.641175270080566,-20.23697280883789,1.0
6,-9.866061210632324,-13.367940902709961,1.0
7,-8.960352897644043,-11.951656341552734,1.0
8,-9.530600547790527,-12.782703399658203,1.0
9,-14.111778259277344,-19.68648910522461,1.0
10,-13.10718822479248,-18.171979904174805,1.0
11,-13.982694625854492,-19.537309646606445,1.0
12,-15.24301528930664,-21.64805030822754,1.0
13,-13.00201416015625,-17.99418830871582,1.0
14,-12.329411506652832,-17.141725540161133,1.0
15,-6.355395317077637,-7.9315338134765625,1.0
16,-12.922357559204102,-18.027257919311523,1.0
17,-10.95643424987793,-14.961830139160156,1.0
18,-16.539283752441406,-23.800844192504883,1.0
19,-19.422517776489258,-28.274221420288086,1.0
20,-13.827217102050781,-19.530561447143555,1.0
21,-8.16457462310791,-10.824278831481934,1.0
22,-5.178706169128418,-6.029784202575684,1.0
23,-11.766846656799316,-16.330232620239258,1.0
24,-8.869712829589844,-12.365961074829102,1.0
25,-12.372891426086426,-17.227922439575195,1.0
26,-10.894465446472168,-14.795132637023926,1.0
27,-2.515725612640381,-2.1625401973724365,1.0
28,-9.159988403320312,-12.603026390075684,1.0
29,-16.789457321166992,-24.39448356628418,1.0
30,-15.083492279052734,-21.757295608520508,1.0
31,-15.71275520324707,-22.36892318725586,1.0
32,-9.771164894104004,-13.098733901977539,1.0
33,-11.2620849609375,-15.842242240905762,1.0
34,-11.290120124816895,-15.469862937927246,1.0
35,-15.369325637817383,-22.310632705688477,1.0
36,-12.197229385375977,-17.49894142150879,1.0
37,-7.285648345947266,-9.93979263305664,1.0
38,-3.5963551998138428,-3.9864704608917236,1.0
39,-14.27218246459961,-21.14301109313965,1.0
40,-15.395277976989746,-21.67136001586914,1.0
41,-13.621272087097168,-19.122819900512695,1.0
42,-14.456270217895508,-21.226884841918945,1.0
43,-14.068875312805176,-20.318767547607422,1.0
44,-8.40291690826416,-11.025885581970215,1.0
45,-9.49524974822998,-12.741973876953125,1.0
46,-9.690624237060547,-13.006301879882812,1.0
47,-14.187897682189941,-19.922870635986328,1.0
48,-12.33973503112793,-17.189010620117188,1.0
49,-7.940797328948975,-10.199411392211914,1.0
50,-16.031944274902344,-22.755596160888672,1.0
51,-18.20877456665039,-26.176895141601562,1.0
52,-17.08417320251465,-24.356618881225586,1.0
53,-19.652114868164062,-28.25836753845215,1.0
54,-11.210014343261719,-15.402510643005371,1.0
55,-13.307604789733887,-18.634868621826172,1.0
56,-12.189530372619629,-16.9111328125,1.0
57,-13.011576652526855,-18.551305770874023,1.0
58,-18.128326416015625,-26.70402717590332,1.0
59,-15.358037948608398,-22.147050857543945,1.0
60,-13.163884162902832,-18.35325050354004,1.0
61,-13.19045352935791,-18.414276123046875,1.0
62,-16.92978286743164,-24.11345672607422,1.0
63,-11.58876895904541,-16.18553924560547,1.0
64,-9.445032119750977,-12.89841079711914,1.0
65,-18.78061866760254,-27.217294692993164,1.0
66,-17.24665069580078,-24.982608795166016,1.0
67,-15.668108940124512,-23.006439208984375,1.0
68,-20.376876831054688,-29.440645217895508,1.0
69,-13.514519691467285,-18.709680557250977,1.0
70,-16.778976440429688,-24.06540298461914,1.0
71,-9.861681938171387,-13.412948608398438,1.0
72,-17.255569458007812,-24.559925079345703,1.0
73,-14.041534423828125,-20.174951553344727,1.0
74,-7.58903169631958,-10.367009162902832,1.0
75,-15.417850494384766,-21.669647216796875,1.0
76,-15.14963150024414,-21.418922424316406,1.0
77,-12.824633598327637,-17.83078384399414,1.0
78,-17.521333694458008,-25.0677433013916,1.0
