test_th=-5
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
18,0.9995257291913683,0.9994444444444445,0.9995257291913683,0.9994882947422284,0.9995257291913683,0.9999990119358153,0.0005555555555555314
20,0.9996764801035264,0.9980587909040488,0.9977397481433645,0.9988054352695237,0.9987071751777633,0.9999972187696088,0.0019412090959511907
23,0.9959910913140312,1.0,1.0,0.9980280455740579,0.9979915197500558,0.9999961583932864,0.0
 
 
 
test_th=-1
 ,Sn,Sp,precision,acc,f1_score,auc,fpr
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,0.99,0.9905362776025236,0.995114006514658,0.9952456418383517,0.9999744696531031,0.010000000000000009
5,0.9991397849462366,0.996031746031746,0.9957136733819117,0.9975232198142415,0.9974237870330613,0.9999654377880185,0.003968253968253954
6,0.9633264462809917,0.967948717948718,0.9638242894056848,0.9657766990291262,0.9635753035391371,0.9949198528743983,0.03205128205128205
8,0.9821826280623608,0.9933333333333333,0.9932432432432432,0.9877641824249166,0.9876819708846584,0.9990200445434299,0.00666666666666671
10,0.917486971627099,0.9876923076923076,0.9850792663972645,0.9547185205330433,0.9500824464098336,0.9950877466482562,0.012307692307692353
13,0.9931182795698925,0.9666666666666667,0.9705758722152165,0.9805649717514124,0.98171768707483,0.9982576548899128,0.033333333333333326
14,0.9955456570155902,1.0,1.0,0.9971387696709585,0.9977678571428571,0.9999950507300173,0.0
16,0.8452115812917594,0.9022222222222223,0.8961038961038961,0.8737486095661846,0.8699140401146132,0.9528606780499875,0.09777777777777774
18,0.9992885937870524,0.9986111111111111,0.9988148850438493,0.998976589484457,0.9990516832622096,0.9999967064527179,0.001388888888888884
20,1.0,0.9977814753189129,0.9974185221039045,0.9988054352695237,0.9987075928917609,0.9999987439604685,0.002218524681087075
23,0.9991091314031181,0.9991375592927986,0.9991091314031181,0.9991235758106923,0.9991091314031181,0.9999884751798592,0.0008624407072014284
 
 
 
