,u_p_x,u_p_y,u_i_x,u_i_y,r_p_x,r_p_y,r_i_x,r_i_y
0,0.8429862856864929,0.9992413520812988,0.8681358695030212,0.3849940299987793,0.8844674229621887,0.33659374713897705,0.8505699038505554,0.3040890097618103
1,0.8681537508964539,0.47404059767723083,0.8148013353347778,0.3662542402744293,0.9140797853469849,0.37259769439697266,0.9197912812232971,0.36381345987319946
2,0.8540759086608887,0.34872862696647644,0.8835868239402771,0.27425259351730347,0.844339907169342,0.32104671001434326,0.8497015833854675,0.34284353256225586
3,0.848096489906311,0.26962804794311523,0.8904438614845276,0.37455493211746216,0.8339385986328125,0.43037042021751404,0.8349360823631287,0.3223492205142975
4,0.9076460003852844,0.43183469772338867,0.8578332662582397,0.34475716948509216,0.8263345956802368,0.40183958411216736,0.7866091728210449,0.2969396114349365
5,0.7966372966766357,0.32154691219329834,0.8679189682006836,0.34730064868927,0.8369168639183044,0.3822716176509857,0.8950147032737732,0.3429301083087921
6,0.8852672576904297,0.23553185164928436,0.8784319162368774,0.3608470559120178,0.8291509747505188,0.333890438079834,0.9647597074508667,0.33965617418289185
7,0.8035343885421753,0.39438343048095703,0.8853247761726379,0.3599476218223572,0.8563312292098999,0.3157709240913391,0.9523834586143494,0.41642242670059204
8,0.8682100176811218,0.35452383756637573,0.8661456108093262,0.39084771275520325,0.8615996241569519,0.44561901688575745,0.8492763042449951,0.3623368442058563
9,0.9022954106330872,0.23109778761863708,0.8165521621704102,0.35997021198272705,0.82231205701828,0.34100571274757385,0.7688692808151245,0.2864243686199188
10,0.8397889137268066,0.4016794264316559,0.858629584312439,0.3627757132053375,0.8552223443984985,0.3620157241821289,0.9333693981170654,0.4075895845890045
11,0.9167219996452332,0.3956280052661896,0.9272015690803528,0.3494987189769745,0.8495712876319885,0.3636339008808136,0.845622181892395,0.32159337401390076
12,0.9439399242401123,0.25202304124832153,0.8376595377922058,0.3989827334880829,0.9238269329071045,0.29831352829933167,0.8499383330345154,0.36908870935440063
13,0.8394724726676941,0.3852691650390625,0.8426256775856018,0.34700432419776917,0.9052119851112366,0.3096585273742676,0.8488339185714722,0.3588535189628601
14,0.8865383267402649,0.2353522628545761,0.8357629776000977,0.38225477933883667,0.883398711681366,0.42868292331695557,0.8523145318031311,0.2692567706108093
15,0.9318812489509583,0.3769049644470215,0.8380879163742065,0.34508660435676575,0.7535133957862854,0.3475591838359833,0.8177688717842102,0.3490962088108063
16,0.15104644000530243,0.2515314221382141,0.9889835119247437,0.3741106390953064,0.8699297904968262,0.34386110305786133,0.9677180051803589,0.33874431252479553
17,0.8505122065544128,0.37111610174179077,0.7489283680915833,0.4057898223400116,0.8817064166069031,0.3508223593235016,0.8459600210189819,0.3645164668560028
18,0.8670215606689453,0.34331125020980835,0.7948621511459351,0.38362404704093933,0.7524666786193848,0.3466625511646271,0.8542880415916443,0.36450543999671936
19,1.0,0.31938326358795166,0.8380043506622314,0.40870100259780884,0.85257887840271,0.2832145392894745,0.8526193499565125,0.36850792169570923
20,0.9641882181167603,0.2594738006591797,0.8702022433280945,0.3713476061820984,0.8235273361206055,0.38653862476348877,0.8877877593040466,0.3195473849773407
21,0.8533792495727539,0.3634291887283325,0.8692403435707092,0.3525945246219635,0.879187822341919,0.33304017782211304,0.8932607173919678,0.34083980321884155
22,0.8198006749153137,0.2875130772590637,0.93450528383255,0.348378986120224,0.8614704012870789,0.3739592730998993,0.8590927124023438,0.3281674087047577
23,0.7694662809371948,0.2472241222858429,0.21645040810108185,0.0,0.8084121346473694,0.39609619975090027,0.8770458698272705,0.3800719976425171
24,0.9583231806755066,0.31257393956184387,0.8180286884307861,0.4444873631000519,0.886747419834137,0.3708476126194,0.7605797052383423,0.3661218285560608
25,0.8187235593795776,0.22108273208141327,0.785822331905365,0.3976671099662781,0.8410325050354004,0.2755897343158722,0.8536316752433777,0.4485921263694763
26,0.8229203224182129,0.29718679189682007,0.8737602829933167,0.3595452606678009,0.8517003059387207,0.43156898021698,0.9021868109703064,0.40539833903312683
27,0.8501456379890442,0.3622831106185913,0.805257260799408,0.36295774579048157,0.8029615879058838,0.4127521812915802,0.8646677136421204,0.3661385774612427
28,0.8565677404403687,0.37894660234451294,0.8371883034706116,0.4526890516281128,0.8831747770309448,0.37804123759269714,0.866920530796051,0.39129340648651123
29,0.8530024886131287,0.36435750126838684,0.8212928771972656,0.37365132570266724,0.9093581438064575,0.30424198508262634,0.8508426547050476,0.3291684091091156
30,0.9108476638793945,0.37089797854423523,0.8585819005966187,0.414199560880661,0.8167391419410706,0.3869991898536682,0.8424732685089111,0.36892417073249817
31,0.9645950794219971,0.2595587372779846,0.30992451310157776,0.8261194825172424,0.9526087045669556,0.3730933368206024,0.0,0.28757917881011963
32,0.99979168176651,0.3194429874420166,0.8943350911140442,0.378147691488266,0.8469284772872925,0.3647823631763458,0.8977782726287842,0.33026280999183655
33,0.8847371935844421,0.38555222749710083,0.8765621781349182,0.3580285608768463,0.9079316854476929,0.3486332893371582,0.8642978668212891,0.3246408700942993
34,0.9459160566329956,0.2524377703666687,0.7618792057037354,0.41839832067489624,0.8543480038642883,0.3586750328540802,0.026728639379143715,0.5644854307174683
35,0.8283623456954956,0.43828749656677246,0.8218405246734619,0.353799045085907,0.91203773021698,0.4263801872730255,0.7979851961135864,0.37843310832977295
36,0.7959803938865662,0.31508517265319824,0.8373274207115173,0.3933413028717041,0.8915439248085022,0.432561993598938,0.8971378207206726,0.3134196996688843
37,0.7695532441139221,0.24724708497524261,0.9131589531898499,0.4165574908256531,0.8563140034675598,0.36062929034233093,0.855808436870575,0.3610473871231079
38,0.7687035799026489,0.381913959980011,0.7862334251403809,0.43787673115730286,0.987501323223114,0.37177857756614685,0.09346946328878403,0.6861398220062256
39,0.8419919610023499,0.36533811688423157,0.8580238223075867,0.3723353147506714,0.7349313497543335,0.3863144814968109,0.8499215245246887,0.3673573434352875
40,0.8682652115821838,0.36905086040496826,0.9119698405265808,0.30313578248023987,0.7740486860275269,0.4132480323314667,0.9152571558952332,0.3283120095729828
